Run,Sample,BioProject
SRR1972776,SRS908615,PRJNA257197
SRR1972774,SRS908616,PRJNA257197
SRR1972773,SRS908617,PRJNA257197
SRR1972772,SRS908618,PRJNA257197
SRR1972771,SRS908619,PRJNA257197
SRR1972770,SRS908620,PRJNA257197
SRR1972769,SRS908621,PRJNA257197
SRR1972767,SRS908622,PRJNA257197
SRR1972768,SRS908623,PRJNA257197
SRR1972766,SRS908624,PRJNA257197
SRR1972764,SRS908630,PRJNA257197
SRR1972765,SRS908631,PRJNA257197
SRR1972763,SRS908632,PRJNA257197
SRR1972762,SRS908633,PRJNA257197
SRR1972761,SRS908634,PRJNA257197
SRR1972760,SRS908635,PRJNA257197
SRR1972759,SRS908636,PRJNA257197
SRR1972758,SRS908637,PRJNA257197
SRR1972757,SRS908638,PRJNA257197
SRR1972756,SRS908639,PRJNA257197
SRR1972755,SRS908640,PRJNA257197
SRR1972753,SRS908641,PRJNA257197
SRR1972754,SRS908642,PRJNA257197
SRR1972752,SRS908643,PRJNA257197
SRR1972751,SRS908644,PRJNA257197
SRR1972750,SRS908645,PRJNA257197
SRR1972749,SRS908646,PRJNA257197
SRR1972748,SRS908647,PRJNA257197
SRR1972747,SRS908648,PRJNA257197
SRR1972746,SRS908649,PRJNA257197
SRR1972744,SRS908650,PRJNA257197
SRR1972745,SRS908651,PRJNA257197
SRR1972743,SRS908652,PRJNA257197
SRR1972742,SRS908654,PRJNA257197
SRR1972741,SRS908653,PRJNA257197
SRR1972740,SRS908655,PRJNA257197
SRR1972739,SRS908656,PRJNA257197
SRR1972738,SRS908657,PRJNA257197
SRR1972737,SRS908658,PRJNA257197
SRR1972736,SRS908659,PRJNA257197
SRR1972735,SRS908660,PRJNA257197
SRR1972734,SRS908661,PRJNA257197
SRR1972733,SRS908662,PRJNA257197
SRR1972732,SRS908664,PRJNA257197
SRR1972731,SRS908663,PRJNA257197
SRR1972730,SRS908665,PRJNA257197
SRR1972729,SRS908666,PRJNA257197
SRR1972728,SRS908667,PRJNA257197
SRR1972727,SRS908668,PRJNA257197
SRR1972726,SRS908669,PRJNA257197
SRR1972725,SRS908670,PRJNA257197
SRR1972724,SRS908671,PRJNA257197
SRR1972723,SRS908672,PRJNA257197
SRR1972722,SRS908673,PRJNA257197
SRR1972721,SRS908674,PRJNA257197
SRR1972720,SRS908675,PRJNA257197
SRR1972718,SRS908676,PRJNA257197
SRR1972719,SRS908677,PRJNA257197
SRR1972717,SRS908678,PRJNA257197
SRR1972715,SRS908679,PRJNA257197
SRR1972716,SRS908680,PRJNA257197
SRR1972714,SRS908681,PRJNA257197
SRR1972712,SRS908682,PRJNA257197
SRR1972713,SRS908683,PRJNA257197
SRR1972710,SRS908684,PRJNA257197
SRR1972711,SRS908685,PRJNA257197
SRR1972709,SRS908686,PRJNA257197
SRR1972708,SRS908687,PRJNA257197
SRR1972707,SRS908688,PRJNA257197
SRR1972706,SRS908689,PRJNA257197
SRR1972705,SRS908690,PRJNA257197
SRR1972704,SRS908691,PRJNA257197
SRR1972702,SRS908692,PRJNA257197
SRR1972703,SRS908693,PRJNA257197
SRR1972701,SRS908694,PRJNA257197
SRR1972700,SRS908695,PRJNA257197
SRR1972699,SRS908696,PRJNA257197
SRR1972698,SRS908697,PRJNA257197
SRR1972697,SRS908698,PRJNA257197
SRR1972696,SRS908699,PRJNA257197
SRR1972695,SRS908700,PRJNA257197
SRR1972694,SRS908701,PRJNA257197
SRR1972693,SRS908702,PRJNA257197
SRR1972692,SRS908703,PRJNA257197
SRR1972691,SRS908704,PRJNA257197
SRR1972690,SRS908705,PRJNA257197
SRR1972688,SRS908706,PRJNA257197
SRR1972689,SRS908707,PRJNA257197
SRR1972687,SRS908708,PRJNA257197
SRR1972686,SRS908709,PRJNA257197
SRR1972685,SRS908710,PRJNA257197
SRR1972684,SRS908711,PRJNA257197
SRR1972683,SRS908712,PRJNA257197
SRR1972682,SRS908714,PRJNA257197
SRR1972681,SRS908713,PRJNA257197
SRR1972680,SRS908715,PRJNA257197
SRR1972679,SRS908716,PRJNA257197
SRR1972678,SRS908717,PRJNA257197
SRR1972677,SRS908718,PRJNA257197
SRR1972676,SRS908719,PRJNA257197
SRR1972675,SRS908720,PRJNA257197
SRR1972674,SRS908721,PRJNA257197
SRR1972673,SRS908722,PRJNA257197
SRR1972672,SRS908724,PRJNA257197
SRR1972670,SRS908723,PRJNA257197
SRR1972671,SRS908725,PRJNA257197
SRR1972669,SRS908726,PRJNA257197
SRR1972668,SRS908727,PRJNA257197
SRR1972667,SRS908728,PRJNA257197
SRR1972666,SRS908729,PRJNA257197
SRR1972664,SRS908730,PRJNA257197
SRR1972665,SRS908731,PRJNA257197
SRR1972662,SRS908732,PRJNA257197
SRR1972663,SRS908733,PRJNA257197
SRR1972661,SRS908734,PRJNA257197
SRR1972660,SRS908735,PRJNA257197
SRR1972659,SRS908736,PRJNA257197
SRR1972658,SRS908737,PRJNA257197
SRR1972657,SRS908738,PRJNA257197
SRR1972656,SRS908739,PRJNA257197
SRR1972655,SRS908740,PRJNA257197
SRR1972654,SRS908741,PRJNA257197
SRR1972653,SRS908742,PRJNA257197
SRR1972652,SRS908743,PRJNA257197
SRR1972651,SRS908744,PRJNA257197
SRR1972649,SRS908745,PRJNA257197
SRR1972650,SRS908746,PRJNA257197
SRR1972648,SRS908747,PRJNA257197
SRR1972647,SRS908748,PRJNA257197
SRR1972643,SRS804043,PRJNA257197
SRR1972646,SRS908749,PRJNA257197
SRR1972645,SRS908750,PRJNA257197
SRR1972644,SRS908751,PRJNA257197
SRR1972642,SRS908752,PRJNA257197
SRR1972640,SRS803956,PRJNA257197
SRR1972641,SRS908753,PRJNA257197
SRR1972638,SRS908754,PRJNA257197
SRR1972639,SRS908755,PRJNA257197
SRR1972637,SRS908756,PRJNA257197
SRR1972636,SRS908757,PRJNA257197
SRR1972635,SRS908758,PRJNA257197
SRR1972634,SRS908759,PRJNA257197
SRR1972633,SRS908760,PRJNA257197
SRR1972632,SRS908761,PRJNA257197
SRR1972627,SRS804031,PRJNA257197
SRR1972631,SRS908762,PRJNA257197
SRR1972630,SRS908763,PRJNA257197
SRR1972629,SRS908764,PRJNA257197
SRR1972628,SRS908765,PRJNA257197
SRR1972626,SRS803920,PRJNA257197
SRR1972625,SRS908766,PRJNA257197
SRR1972624,SRS908767,PRJNA257197
SRR1972623,SRS908768,PRJNA257197
SRR1972622,SRS908769,PRJNA257197
SRR1972617,SRS803792,PRJNA257197
SRR1972620,SRS908770,PRJNA257197
SRR1972621,SRS908771,PRJNA257197
SRR1972619,SRS908772,PRJNA257197
SRR1972618,SRS908773,PRJNA257197
SRR1972613,SRS803838,PRJNA257197
SRR1972615,SRS804016,PRJNA257197
SRR1972612,SRS804022,PRJNA257197
SRR1972616,SRS908774,PRJNA257197
SRR1972614,SRS908775,PRJNA257197
SRR1972609,SRS803831,PRJNA257197
SRR1972611,SRS908776,PRJNA257197
SRR1972610,SRS908777,PRJNA257197
SRR1972608,SRS908778,PRJNA257197
SRR1972607,SRS908779,PRJNA257197
SRR1972605,SRS908780,PRJNA257197
SRR1972606,SRS908781,PRJNA257197
SRR1972604,SRS908782,PRJNA257197
SRR1972603,SRS908783,PRJNA257197
SRR1972602,SRS908785,PRJNA257197
SRR1735261,SRS804041,PRJNA257197
SRR1735262,SRS804042,PRJNA257197
SRR1735263,SRS804043,PRJNA257197
SRR1735265,SRS804044,PRJNA257197
SRR1735264,SRS804045,PRJNA257197
SRR1735256,SRS804036,PRJNA257197
SRR1735257,SRS804037,PRJNA257197
SRR1735258,SRS804038,PRJNA257197
SRR1735259,SRS804039,PRJNA257197
SRR1735260,SRS804040,PRJNA257197
SRR1735251,SRS804031,PRJNA257197
SRR1735252,SRS804032,PRJNA257197
SRR1735255,SRS804033,PRJNA257197
SRR1735253,SRS804034,PRJNA257197
SRR1735254,SRS804035,PRJNA257197
SRR1735247,SRS804026,PRJNA257197
SRR1735246,SRS804027,PRJNA257197
SRR1735248,SRS804028,PRJNA257197
SRR1735250,SRS804029,PRJNA257197
SRR1735249,SRS804030,PRJNA257197
SRR1735241,SRS804021,PRJNA257197
SRR1735243,SRS804022,PRJNA257197
SRR1735242,SRS804023,PRJNA257197
SRR1735244,SRS804024,PRJNA257197
SRR1735245,SRS804025,PRJNA257197
SRR1735236,SRS804016,PRJNA257197
SRR1735237,SRS804017,PRJNA257197
SRR1735238,SRS804018,PRJNA257197
SRR1735239,SRS804019,PRJNA257197
SRR1735240,SRS804020,PRJNA257197
SRR1735231,SRS804011,PRJNA257197
SRR1735232,SRS804012,PRJNA257197
SRR1735233,SRS804013,PRJNA257197
SRR1735234,SRS804014,PRJNA257197
SRR1735235,SRS804015,PRJNA257197
SRR1735227,SRS804006,PRJNA257197
SRR1735226,SRS804007,PRJNA257197
SRR1735228,SRS804008,PRJNA257197
SRR1735229,SRS804009,PRJNA257197
SRR1735230,SRS804010,PRJNA257197
SRR1735222,SRS804001,PRJNA257197
SRR1735221,SRS804002,PRJNA257197
SRR1735223,SRS804003,PRJNA257197
SRR1735224,SRS804004,PRJNA257197
SRR1735225,SRS804005,PRJNA257197
